id,name,instantiated_from,Model,Dataset,Fold_number,fold_id
InstArg1,User10,Arg2,Model2,Data1,1,Fold1
InstArg2,User18,Arg2,Model2,Data1,1,Fold1
InstArg3,User17,Arg2,Model2,Data1,1,Fold1
InstArg4,User16,Arg2,Model2,Data1,1,Fold1
InstArg5,User15,Arg2,Model2,Data1,1,Fold1
InstArg6,User14,Arg2,Model2,Data1,1,Fold1
InstArg7,User13,Arg2,Model2,Data1,1,Fold1
InstArg8,User12,Arg2,Model2,Data1,1,Fold1
InstArg9,User11,Arg2,Model2,Data1,1,Fold1
InstArg10,User19,Arg2,Model2,Data1,1,Fold1
InstArg11,User21,Arg2,Model2,Data1,1,Fold1
InstArg12,User20,Arg2,Model2,Data1,1,Fold1
InstArg13,User11280,Arg2,Model2,Data1,1,Fold1
InstArg14,User11281,Arg2,Model2,Data1,1,Fold1
InstArg15,User11282,Arg2,Model2,Data1,1,Fold1
InstArg16,User11283,Arg2,Model2,Data1,1,Fold1
InstArg17,User11284,Arg2,Model2,Data1,1,Fold1
InstArg18,User11285,Arg2,Model2,Data1,1,Fold1
InstArg19,User29,Arg2,Model2,Data1,1,Fold1
InstArg20,User11286,Arg2,Model2,Data1,1,Fold1
InstArg21,User28,Arg2,Model2,Data1,1,Fold1
InstArg22,User11287,Arg2,Model2,Data1,1,Fold1
InstArg23,User11288,Arg2,Model2,Data1,1,Fold1
InstArg24,User27,Arg2,Model2,Data1,1,Fold1
InstArg25,User26,Arg2,Model2,Data1,1,Fold1
InstArg26,User11289,Arg2,Model2,Data1,1,Fold1
InstArg27,User25,Arg2,Model2,Data1,1,Fold1
InstArg28,User24,Arg2,Model2,Data1,1,Fold1
InstArg29,User23,Arg2,Model2,Data1,1,Fold1
InstArg30,User22,Arg2,Model2,Data1,1,Fold1
InstArg31,User32,Arg2,Model2,Data1,1,Fold1
InstArg32,User11290,Arg2,Model2,Data1,1,Fold1
InstArg33,User31,Arg2,Model2,Data1,1,Fold1
InstArg34,User30,Arg2,Model2,Data1,1,Fold1
InstArg35,User11291,Arg2,Model2,Data1,1,Fold1
InstArg36,User11292,Arg2,Model2,Data1,1,Fold1
InstArg37,User11293,Arg2,Model2,Data1,1,Fold1
InstArg38,User11294,Arg2,Model2,Data1,1,Fold1
